iter	CrossEntropy
155	0.6593934552
156	0.6593120321
157	0.6592303519
158	0.6590040852
159	0.6588817192
160	0.6587186673
161	0.6584574757
162	0.6583354182
163	0.6582558983
164	0.658187077
165	0.6579375099
166	0.6578273341
167	0.6577608789
168	0.6575826534
169	0.6573240336
170	0.6571958553
171	0.6571281656
172	0.6570004502
173	0.65683925
174	0.6567062881
175	0.6565628847
176	0.6563773039
177	0.6562551436
178	0.6561396699
179	0.6559142777
180	0.6558276596
181	0.6556706772
182	0.6555961465
183	0.6553882425
184	0.6553621645
185	0.6551673252
186	0.6550476852
187	0.6549270165
188	0.6548026959
189	0.6546683967
190	0.6544532917
191	0.6543068536
192	0.6543056705
193	0.6541733259
194	0.654007445
195	0.6538379637
196	0.6537322114
197	0.6535699311
198	0.6533803897
199	0.6531734115
200	0.6529996609
201	0.6528084736
202	0.6527333257
203	0.6525904367
204	0.652534783
205	0.6524041358
206	0.6522412382
207	0.6521088936
208	0.6520495365
209	0.6518974919
210	0.6518926055
211	0.6516885077
212	0.651646176
213	0.6515381091
214	0.6514105994
215	0.6511712681
216	0.6510498793
217	0.6508117309
218	0.6507212551
219	0.6505650957
220	0.6504690648
221	0.6504422667
222	0.6503587347
223	0.6501678046
224	0.6500675045
225	0.6499649927
226	0.6498514736
227	0.6497394462
228	0.6495462528
229	0.6494526909
230	0.6494492961
231	0.6493449841
232	0.6491705134
233	0.6491615635
234	0.6491349197
235	0.6489594203
236	0.6488110277
237	0.6486319278
238	0.6484586916
239	0.6484144053
240	0.6482580401
241	0.648097097
242	0.6479705647
243	0.6478105989
244	0.6476996516
245	0.6475803203
246	0.6474647952
247	0.6474082157
248	0.6472772084
249	0.6472165654
250	0.6471744394
251	0.6470157081
252	0.6470157081
253	0.6469485328
254	0.6468558453
255	0.6467761196
256	0.6467738564
257	0.6466313274
258	0.6464271268
259	0.6463447779
260	0.6461754508
261	0.6460645035
262	0.6458668353
263	0.6457062009
264	0.6456686012
265	0.6456447864
266	0.6455528704
267	0.645464452
268	0.6453044348
269	0.6452457979
270	0.6451689012
271	0.6450571309
272	0.644834722
273	0.6447259864
274	0.6445355192
275	0.6443849148
276	0.6443470579
277	0.6443297755
278	0.6442325101
279	0.6440196683
280	0.6438696811
281	0.6438299211
282	0.6437256605
283	0.6435110698
284	0.6435075208
285	0.6433734787
286	0.6432011169
287	0.643199471
288	0.6431912412
289	0.6430622914
290	0.6430389395
291	0.6430011855
292	0.6428248117
293	0.6428220342
294	0.6426664919
295	0.6426368648
296	0.6426146445
297	0.6424735558
298	0.6424425913
299	0.6424070491
300	0.6422257889
301	0.6421597452
302	0.6420939586
303	0.6419357417
304	0.6418882664
305	0.641678202
306	0.6415726555
307	0.64146392
308	0.6413061145
309	0.6412396593
310	0.6411983048
311	0.6410948158
312	0.6409148414
313	0.640869835
314	0.6408444257
315	0.6407434055
316	0.6405683176
317	0.6404216738
318	0.6401827025
319	0.640178639
320	0.6401372331
321	0.6401286947
322	0.6399977903
323	0.6398875117
324	0.6398397791
325	0.6397351585
326	0.6396313093
327	0.6395786389
328	0.6394027795
329	0.6392255827
330	0.6389429938
331	0.6387784502
332	0.6387016564
333	0.6385345411
334	0.6385314549
335	0.638456307
336	0.6383422736
337	0.6381480001
338	0.6380516606
339	0.6379285744
340	0.6378227707
341	0.637714138
342	0.6376541123
343	0.6373868512
344	0.6373831993
345	0.637353315
346	0.6373529035
347	0.6373047595
348	0.6371740608
349	0.6371373356
350	0.637015381
351	0.6369489772
352	0.6368278456
353	0.6365560582
354	0.6364938721
355	0.6363225905
356	0.6362915746
357	0.636291266
358	0.6361467311
359	0.6361007988
360	0.6359209788
361	0.6358213988
362	0.6357377126
363	0.6357377126
364	0.6357366839
365	0.635653872
366	0.6355166924
367	0.6353322432
368	0.6352937691
369	0.635158184
370	0.6351572581
371	0.6351414159
372	0.635136941
373	0.6349941034
374	0.6347811586
375	0.6346259765
376	0.6344463622
377	0.6341103313
378	0.6338832931
379	0.6337006441
380	0.6335274594
381	0.6333324658
382	0.633204236
383	0.6331162291
384	0.6329643903
385	0.6328648618
386	0.6327332887
387	0.6325439016
388	0.6324289937
389	0.6322687194
390	0.6321152346
391	0.6321151831
392	0.6321150288
393	0.6319950803
394	0.6319950288
395	0.6319894737
396	0.6319030614
397	0.6319029585
398	0.6317503481
399	0.6316363661
400	0.6314982606
401	0.6314269704
402	0.631197309
403	0.6311879991
404	0.6311032842
405	0.6308990321
406	0.6306797607
407	0.6306783205
408	0.6306224611
409	0.6304864131
410	0.6304127054
411	0.6302381319
412	0.6301808837
413	0.6301470389
414	0.6301470903
415	0.6299898507
416	0.6299711794
417	0.6299693277
418	0.6299692249
419	0.6299584233
420	0.6299583719
421	0.6299580118
422	0.62984511
423	0.6298414066
424	0.6298413551
425	0.6296871502
426	0.6295661215
427	0.6294396406
428	0.6292604892
429	0.6292342055
430	0.629071205
431	0.6288712736
432	0.6288235925
433	0.6287763743
434	0.6287763228
435	0.6287763228
436	0.6286334853
437	0.6286333824
438	0.6285246983
439	0.6283673558
440	0.6283079473
441	0.628161252
442	0.6279820493
443	0.6279819978
444	0.6278501676
445	0.6276335194
446	0.6274041666
447	0.6274041666
448	0.6274041152
449	0.6272611233
450	0.6272611233
451	0.6272610719
452	0.627260969
453	0.6272575228
454	0.6271612348
455	0.6269818777
456	0.6268729364
457	0.6267544795
458	0.6266540251
459	0.6266540251
460	0.6265323277
461	0.6264963225
462	0.6264691129
463	0.6263688129
464	0.6262849723
465	0.6262307588
466	0.6262306045
467	0.6262273126
468	0.626110193
469	0.6260828806
470	0.6260827777
471	0.6259021347
472	0.6258898415
473	0.6258861381
474	0.6258374798
475	0.6258323876
476	0.6258323362
477	0.625772259
478	0.6256768454
479	0.6255129705
480	0.6254050065
481	0.6252809945
482	0.6252020918
483	0.6251584741
484	0.6250662495
485	0.6249709387
486	0.6248569053
487	0.6246631461
488	0.6244692841
489	0.6242445605
490	0.6241365965
491	0.6240931846
492	0.6239693783
493	0.6239113072
494	0.6238036004
495	0.6238021087
496	0.623732053
497	0.623732053
498	0.6237116843
499	0.6235873123
500	0.6235312471
501	0.6233083753
502	0.6231971708
503	0.6231654862
504	0.623090647
505	0.6230907498
506	0.622988238
507	0.6229862835
508	0.6229725501
509	0.6228536302
510	0.6228536302
511	0.6226744789
512	0.6226602826
513	0.6226588938
514	0.6226588938
515	0.6226588424
516	0.6226060177
517	0.6226060691
518	0.6226059662
519	0.6225333387
520	0.6223222971
521	0.6223222971
522	0.6221318813
523	0.621960754
524	0.6217900896
525	0.6217877235
526	0.6216066691
527	0.6214447488
528	0.6214044744
529	0.6213800424
530	0.6213799909
531	0.6213800424
532	0.621241474
533	0.6212360218
534	0.6212360218
535	0.6210401023
536	0.6210032228
537	0.620907089
538	0.6208357988
539	0.6208341529
540	0.6207139471
541	0.6205504323
542	0.6205393736
543	0.6204193221
544	0.6203197936
545	0.6201263945
546	0.6200512981
547	0.6200485205
548	0.6199121125
549	0.6198118638
550	0.6198094464
551	0.6198070803
552	0.6195885805
553	0.6194253743
554	0.6192508522
555	0.6192508008
556	0.6192508522
557	0.6191872774
558	0.6189361158
559	0.6187931239
560	0.6185969473
561	0.6184075087
562	0.6184075087
563	0.6184075602
564	0.6183796819
565	0.6183797333
566	0.6183797848
567	0.6181899862
568	0.6180813021
569	0.6180809935
570	0.6180709635
571	0.6180679802
572	0.6180679802
573	0.6180642254
574	0.6180603162
575	0.6180603162
576	0.6179426308
577	0.6178363642
578	0.6178363128
579	0.6178362099
580	0.6178334838
581	0.6178244825
582	0.6178244825
583	0.6178242768
584	0.617751032
585	0.617623368
586	0.6175465228
587	0.6175444653
588	0.6175433337
589	0.6174293003
590	0.6174281687
591	0.6173254512
592	0.6173243196
593	0.6173243196
594	0.6171956783
595	0.6169013105
596	0.6169002304
597	0.6168405132
598	0.6168405647
599	0.6167376414
600	0.616736767
601	0.6166882115
602	0.6165524721
603	0.616316484
604	0.616316484
605	0.6163094373
606	0.6163093859
607	0.6163068655
608	0.6163041908
609	0.6163042423
610	0.6161986443
611	0.6159749495
612	0.6159130206
613	0.6159126091
614	0.6159043794
615	0.6157588671
616	0.6157563468
617	0.6157556267
618	0.615705631
619	0.6155772983
620	0.6155500373
621	0.6155500887
622	0.6153954723
623	0.6153911517
624	0.6153592614
625	0.6152105602
626	0.6152088113
627	0.6152088113
628	0.6150832562
629	0.6150771868
630	0.614912489
631	0.6149103287
632	0.6149103287
633	0.61490966
634	0.6147738177
635	0.6146635905
636	0.6145196728
637	0.6145196214
638	0.6145196214
639	0.6144252364
640	0.6144125832
641	0.6142624417
642	0.6141710401
643	0.6140723345
644	0.6139215758
645	0.6139215244
646	0.6139200328
647	0.6139179753
648	0.6137381553
649	0.6137373324
650	0.6137353264
651	0.6136668651
652	0.6136639847
653	0.6136387297
654	0.6136379067
655	0.6135293255
656	0.6135293769
657	0.6134054678
658	0.6134054678
659	0.6134054163
660	0.613403256
661	0.6134011986
662	0.6133825788
663	0.6132867536
664	0.6131248333
665	0.6131229302
666	0.6131228788
667	0.6131011214
668	0.6130992183
669	0.6129451162
670	0.6127282624
671	0.6127264621
672	0.6127264621
673	0.6127264107
674	0.6127264107
675	0.6125625872
676	0.6124637788
677	0.6124628015
678	0.6124628015
679	0.61246203
680	0.612418258
681	0.6124148633
682	0.6124129601
683	0.6122272764
684	0.6120286309
685	0.6120252875
686	0.6118190809
687	0.6116816441
688	0.6116394152
689	0.6116386951
690	0.6116263505
691	0.6115719313
692	0.6115708511
693	0.6114453989
694	0.6114043016
695	0.6114000839
696	0.6113655704
697	0.6113654675
698	0.6113654675
699	0.6113537915
700	0.6112983436
701	0.6112754032
702	0.6112547259
703	0.6112547774
704	0.6111207868
705	0.6109831957
706	0.6109830928
707	0.6109826813
708	0.610950791
709	0.6109269248
710	0.6109265133
711	0.6106777177
712	0.6105975805
713	0.6105135857
714	0.6105130713
715	0.6105121455
716	0.6105114768
717	0.6103934828
718	0.6102625783
719	0.6102485363
720	0.6101126426
721	0.6101104823
722	0.6100688706
723	0.6099679019
724	0.6099614724
725	0.6099602894
726	0.6098838556
727	0.6097373147
728	0.6097351544
729	0.6095930883
730	0.6094050386
731	0.6094050386
732	0.6093753601
733	0.6093663588
734	0.6093640441
735	0.6093640441
736	0.6092253215
737	0.60922527
738	0.6090277561
739	0.6090276532
740	0.6090160287
741	0.6089982833
742	0.6089982833
743	0.6088782318
744	0.6088772031
745	0.6088772031
746	0.6087449613
747	0.6087449099
748	0.6087449099
749	0.6086353514
750	0.6084378374
751	0.6084271902
752	0.6083303878
753	0.6081764915
754	0.6081764915
755	0.6081712964
756	0.6081703706
757	0.6081576659
758	0.6081432639
759	0.6080364829
760	0.6080348884
761	0.6080085017
762	0.6080078331
763	0.6080056213
764	0.6077822351
765	0.6077727195
766	0.6077480816
767	0.6077472072
768	0.6076073015
769	0.6076051926
770	0.6075557113
771	0.6075557627
772	0.6074860156
773	0.6074141082
774	0.6074128223
775	0.6074127708
776	0.607357683
777	0.6071327537
778	0.6069724793
779	0.6067831951
780	0.6067803147
781	0.6067679701
782	0.6067679186
783	0.6067678158
784	0.6067486816
785	0.6067487845
786	0.6067479101
787	0.6065970485
788	0.606595814
789	0.6065104818
790	0.6065029207
791	0.6064981372
792	0.6063165169
793	0.6061771256
794	0.6060485872
795	0.6060477642
796	0.6060461183
797	0.6060233322
798	0.6059244209
799	0.605911459
800	0.6059059039
801	0.605901069
802	0.6058918105
803	0.6058851238
804	0.6058054496
805	0.6058050381
806	0.6058045752
807	0.605804318
808	0.6056401859
809	0.6056389
810	0.6056329849
811	0.6055202888
812	0.6055202888
813	0.605516534
814	0.6054952395
815	0.6054948795
816	0.6054929763
817	0.6054926163
818	0.6054911246
819	0.605490816
820	0.605490816
821	0.6054898387
822	0.6053335764
823	0.6053334221
824	0.6053127963
825	0.6053088871
826	0.6053043093
827	0.6053001945
828	0.6052995258
829	0.6051034521
830	0.6050242407
831	0.6048802201
832	0.6047926762
833	0.604647524
834	0.6046115188
835	0.6046108502
836	0.6045793714
837	0.6045785484
838	0.604578497
839	0.6045721189
840	0.6045717074
841	0.6045714503
842	0.6044045407
843	0.6042936448
844	0.6042161823
845	0.6042125304
846	0.6042112445
847	0.6042063581
848	0.6042060494
849	0.6042061009
850	0.6042057923
851	0.6042023975
852	0.6041853208
853	0.6041843435
854	0.6040504558
855	0.6039186769
856	0.603914202
857	0.6039101386
858	0.6036976053
859	0.603653679
860	0.6036381968
861	0.6035031775
862	0.6035029718
863	0.6035008629
864	0.6032716644
865	0.6032706357
866	0.6032480553
867	0.6032472838
868	0.603214622
869	0.6031352049
870	0.6029899498
871	0.6029886125
872	0.6029622259
873	0.6029105328
874	0.6028941761
875	0.6028117243
876	0.602797991
877	0.6027747934
878	0.6027728902
879	0.6027691868
880	0.6027386339
881	0.6026467693
882	0.6026456377
883	0.6026134903
884	0.6026015572
885	0.6024184967
886	0.6021236145
887	0.6020525301
888	0.6019162763
889	0.6019136531
890	0.6018431859
891	0.6018412827
892	0.601837888
893	0.6018376308
894	0.6018373222
895	0.6017702497
896	0.6017477722
897	0.6017448404
898	0.6017446346
899	0.6015976822
900	0.6015735073
901	0.6015642488
902	0.6015641974
903	0.6014902325
904	0.6013205454
905	0.6011998253
906	0.6011996195
907	0.6010598167
908	0.6010598681
909	0.6008891009
910	0.6008871463
911	0.6007956418
912	0.6007912183
913	0.6007864347
914	0.6006564562
915	0.6006564562
916	0.6004669148
917	0.600332667
918	0.6001843258
919	0.6001842229
920	0.6001842229
921	0.6001164818
922	0.6001161217
923	0.6001158131
924	0.6001153502
925	0.6000236914
926	0.5998907295
927	0.5998875405
928	0.5997670776
929	0.5997275748
930	0.5997269061
931	0.5997268032
932	0.5997267518
933	0.5996408538
934	0.5995542871
935	0.5995321182
936	0.599479705
937	0.5993212309
938	0.5991665117
939	0.5989872575
940	0.598978822
941	0.598978822
942	0.5988271374
943	0.5987176303
944	0.5987175275
945	0.5986112094
946	0.5986086891
947	0.5986086376
948	0.5986064259
949	0.5986033912
950	0.5986028768
951	0.5985832283
952	0.5984775274
953	0.598477476
954	0.5983694091
955	0.5983691519
956	0.5983686376
957	0.5982984275
958	0.5982983247
959	0.5982965758
960	0.598206923
961	0.5982054314
962	0.5982037854
963	0.5981244712
964	0.5980371845
965	0.5980355385
966	0.5979038111
967	0.597900725
968	0.5978986161
969	0.5978972273
970	0.5978972273
971	0.5977638025
972	0.5976538325
973	0.5976533696
974	0.5975463314
975	0.5974533867
976	0.5974448483
977	0.5973196533
978	0.5971272829
979	0.5971271286
980	0.596997973
981	0.5969190703
982	0.5967212992
983	0.5967208362
984	0.5964720921
985	0.5963511148
986	0.5962588387
987	0.5962352297
988	0.596074441
989	0.5960737723
990	0.5960732065
991	0.5958752296
992	0.5958666398
993	0.5958666398
994	0.5957856797
995	0.5957360954
996	0.595567077
997	0.5955660997
998	0.5953860739
999	0.5953847366
